review,sentiment,length,v_replacement,n_replacement,adj_replacement
a mesmerizing film that certainly keeps your attention... Ben Daniels is fascinating (and courageous) to watch.,positive,111,"['a mesmerizing film that certainly catches your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.']","['a great film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing sight that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... jack daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben franklin is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and exciting ) to watch.']",['a mesmerizing film that certainly keeps your interest... ben daniels is fascinating ( and courageous ) to watch.']
This is the greatest movie ever. If you have written it off with out ever seeing it. You must give it a second try.,positive,115,"['this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second try.', 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second try.', 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second try.', 'this is the greatest movie ever. if you have written it off with out ever with it. you must give it a second try.', 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second try.']","['this is the greatest thing ever. if you have written it off with out ever seeing it. you must give it a second try.', '[CLS] this is the greatest movie ever. if you have written it off with out [MASK] seeing it. you must give it a second try. [SEP]', '[CLS] this is the greatest movie [MASK]. if you have written it off with out of seeing it. you must give it a second try. [SEP]', '[CLS] this is the greatest movie ever. if you have written it off with out ever seeing [MASK]. you must give [MASK] a second try. [SEP]', '[CLS] this is the greatest movie ever. if you have written [MASK] off with out ever seeing it. you must give [MASK] a second try. [SEP]', '[CLS] this is the greatest movie ever. if you have written [MASK] off with out ever seeing [MASK]. you must give it a second try. [SEP]', 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second chance.']","['this is the best movie ever. if you have written it off with out ever seeing it. you must give it a second try.', 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a real try.']"
"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",positive,115,"['this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.']","['this show will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a movie and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie musical, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and dance.']",[]
"Without a doubt, one of Tobe Hoppor's best! Epic storytellng, great special effects, and The Spacegirl (vamp me baby!).",positive,119,"[""without a doubt, one of tobe hoppor's best! epics, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me up! ).""]","[""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of the hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe'best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's live! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best!, storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the musical ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( call me baby! ).""]","[""without a doubt, one of tobe hoppor's best! epic storytellng, the special effects, and the spacegirl ( vamp me baby! )."", ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! ).""]"
Absolutely fantastic! Whatever I say wouldn't do this underrated movie the justice it deserves. Watch it now! FANTASTIC!,positive,120,"[""absolutely fantastic! whatever i did wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it does. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!""]","[""absolutely fantastic! nothing i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated group the justice it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated movie the way it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now!!!""]","[""absolutely not! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", ""absolutely fantastic! whatever i say wouldn't do this horror movie the justice it deserves. watch it now! fantastic!""]"
"As usual, Sean Connery does a great job. Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",positive,120,"['as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.']","['as usual, sean kendrick does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. laurence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrenceton is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as a turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ikea.']","['as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a good job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is great, but i have a hard time not seeing him as ike turner.', 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.']"
For pure gothic vampire cheese nothing can compare to the Subspecies films. I highly recommend each and every one of them.,positive,122,"['for pure gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'for pure gothic vampire cheese nothing can compare to the subspecies above. i highly recommend each and every one of them.', 'for pure gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.']","['for pure gothic swiss cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'for pure gothic vampire, nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'for pure gothic vampire cheese you can compare to the subspecies films. i highly recommend each and every one of them.', 'for pure gothic vampire cheese nothing can compare to the horror films. i highly recommend each and every one of them.', 'for pure gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.']","['for the gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'for pure - vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.']"
If you've ever had a mad week-end out with your mates then you'll appreciate this film. Excellent fun and a laugh a minute.,positive,123,"[""if you ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll enjoy this film. excellent fun and a laugh a minute.""]","[""if you've ever had a mad rear - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", ""if you've ever had a mad week - end out with your father then you'll appreciate this film. excellent fun and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. have fun and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent reviews and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a movie a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a lot.""]","[""if you've ever had a good week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", ""if you've ever had a mad week - end out with your mates then you'll appreciate this one. excellent fun and a laugh a minute.""]"
"One of the funniest movies made in recent years. Good characterization, plot and exceptional chemistry make this one a classic",positive,126,"['one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic']","['one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent history. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good acting, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, direction and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, plot and exceptional acting make this one a classic']","['one of the best movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in many years. good characterization, plot and exceptional chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, plot and good chemistry make this one a classic', 'one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a.']"
"Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.",positive,127,[],"['2. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. played along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the godfather and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and others. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. you see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must be, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for her in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early twenties. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. got it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch out.']","['brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her younger days. watch it.']"
"A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. A must see.",positive,130,"['a great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. a must see.', 'a great film in its genre, the direction, acting, most especially the casting of the film make it even more powerful. a must see.', 'a great film in its genre, the direction, acting, most especially the casting of the film makes it even more interesting. a must see.', 'a great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. a must see.']","['[CLS] a great success in its genre, the direction, acting, most especially the casting of the [MASK] makes it even more powerful. a must see. [SEP]', '[CLS] a great [MASK] in its genre, the direction, acting, most especially the casting of the cast makes it even more powerful. a must see. [SEP]', 'a great film in its time, the direction, acting, most especially the casting of the film makes it even more powerful. a must see.', 'a great film in its genre, the story, acting, most especially the casting of the film makes it even more powerful. a must see.', 'a great film in its genre, the direction, acting, most especially the music of the film makes it even more powerful. a must see.', '[CLS] a great success in its genre, the direction, acting, most especially the casting of the [MASK] makes it even more powerful. a must see. [SEP]', '[CLS] a great [MASK] in its genre, the direction, acting, most especially the casting of the cast makes it even more powerful. a must see. [SEP]']","['a classic film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. a must see.']"
"Obviously written for the stage. Lightweight but worthwhile. How can you go wrong with Ralph Richardson, Olivier and Merle Oberon.",positive,130,"['obviously built for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. lightweight but effective. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.']","['obviously written for the screen. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. expensive but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralphie, olivier and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, hamlet and merle oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and the oberon.', 'obviously written for the stage. lightweight but worthwhile. how can you go wrong with ralph richardson, olivier and merle haggard.']","['obviously written for the stage. lightweight but worthwhile. how can you go? with ralph richardson, olivier and merle oberon.']"
"As a big fan of Tiny Toon Adventures, I loved this movie!!! It was so funny!!! It really captured how cartoons spent their summers.",positive,131,"['as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really was how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.']","['as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny mouse adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this show!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how kids spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their time.']","['as a huge fan of tiny toon adventures, i loved this movie!!! it was so funny!!! it really captured how cartoons spent their summers.', 'as a big fan of tiny toon adventures, i loved this movie!!! it was so cool!!! it really captured how cartoons spent their summers.']"
"Brilliant movie. The drawings were just amazing. Too bad it ended before it begun. I´ve waited 21 years for a sequel, but nooooo!!!",positive,131,"['brilliant idea. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings are just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just perfect. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it started. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!']","['the movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the actors were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. her ´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a movie, but nooooo!!!', 'brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but!!!!']","['brilliant movie. the drawings were just amazing. too bad it ended before it begun. i´ve waited 21 years for a sequel, but nooooo!!!']"
My favorite movie. What a great story this really was. I'd just like to be able to buy a copy of it but this does not seem possible.,positive,132,"[""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a great story this really was. i'd just like to be able to get a copy of it but this does not seem possible."", ""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this did not seem possible."", ""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible.""]","[""my favorite book. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a great movie this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", 'my favorite movie. what a great story this really was. i just like to be able to buy a copy of it but this does not seem possible.', ""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem right.""]","[""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a wonderful story this really was. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a great story this really is. i'd just like to be able to buy a copy of it but this does not seem possible."", ""my favorite movie. what a great story this really was. i'd just like to be able to buy a copy of it but this does not seem possible.""]"
