review,sentiment,length,paraphrase
I really enjoyed this movie... In My DVD collection of baseball movies... Reminded me how great the sport truly is... Whether it's here in America or Japan.,positive,156,This movie reminded me of how great baseball is. Whether it's here in America or Japan.
I was overtaken by the emotion. Unforgettable rendering of a wartime story which is unknown to most people. The performances were faultless and outstanding.,positive,156,I was overwhelmed by the emotion of the performance.
"This movie is based on the novel Island of dr. Moreau By H.G. Wells. It's a fairly good one too, it's at least better than the version by John Frankenheimer.",positive,157,The movie is based on a novel by H.G. Wells.
"Go, Igor, go, you are the proof that Slovenian films may, should and must be different. There's soul in it, and this is rare. Don't let anybody put you down!",positive,157,"Don't let anyone put you down, you are the proof that Slovenian films should and must be different."
The only thing serious about this movie is the humor. Well worth the rental price. I'll bet you watch it twice. It's obvious that Sutherland enjoyed his role.,positive,158,The only serious thing about this movie is the humor.
I don't believe it... Luc Besson is not only a genius now...he has always been one... this film is for everyone who likes real good deep films...just perfect!,positive,158,Luc Besson is a genius and this film is perfect for everyone who likes good deep films.
"The acrobatics mixed with haunting music, make one spectacular show. The costumes are vibrant and the performances will just boggle your mind! Simply amazing!",positive,158,The acrobatics and haunting music make for an amazing show.
Kept my attention from start to finish. Great performances added to this tremendous film. Mr. Pacino once again gives us another brilliant character to enjoy.,positive,158,I kept my attention from start to finish.
"Brilliant execution in displaying once and for all, this time in the venue of politics, of how ""good intentions do actually pave the road to hell"". Excellent!",positive,158,"Excellent execution in showing how ""good intentions do actually pave the road to hell"", in the venue of politics."
"I liked the movie a real lot. Wanted to see it just for Dara Tomanovich, but the plot and story were ok too. A very cool change in plot when you least expect it.",positive,161,"The plot and story were ok, but I wanted to see it for Dara Tomanovich."
Touching; Well directed autobiography of a talented young director/producer. A love story with Rabin's assassination in the background. Worth seeing !<br /><br />,positive,162,A love story with Rabin's assassination in the background is worth seeing.
"THis movie shows us once again, how genius the Japanese directors are and were. This movie could be seen as a sort of a ""Silent - Movie Tetsuo"". Well Eisenstein...:)",positive,165,The movie shows how genius the Japanese directors are.
this was a get up and go horror movie with an intelligent cast and a director with great vision to really capture the mood of the story i highly recommend this movie,positive,165,This was a great movie with an intelligent cast and a great director who really captured the mood of the story.
GREAT movie and the family will love it!! If kids are bored one day just pop the tape in and you'll be so glad you did!!!<br /><br />~~~Rube<br /><br />i luv raven-s!,positive,166,"If your kids are bored one day, just pop the tape in and they will love it."
"If you are French native, then you find this movie extremely funny. It's good, just good! Can though imagine that subtitles or translations don't mean much in english.",positive,167,"It's good, just good, if you're a French native."
Albert Pyun delivers a very good action/drama about a junkie who tries to rip-off a big crime-lord. A lot of style and many very cool actors. Burt Reynold is excellent.,positive,168,A lot of style and many very cool actors are in Albert Pyun's action/drama about a junkie who tries to rip-off a big crime-lord.
"Although not one of Vonnegut's better known works, it is a definite ""must-see"". Interestingly thought out, I especially like how the director filmed the couple in love.",positive,168,"Although not one of Vonnegut's better known works, it is a definite must-see."
"It's not Citizen Kane, but it does deliver. Cleavage, and lots of it.<br /><br />Badly acted and directed, poorly scripted. Who cares? I didn't watch it for the dialog.",positive,168,"It's not Citizen Kane, but it does deliver."
This movie is very good. The screenplay is enchanting. But Meryl Streep is most impressive. Her performance is excellent. She brings me to go into the heart of her role.,positive,169,The movie is very good and the performance of the actress is outstanding.
I smiled through the whole film. The music is great. The story-telling is great. It's a wonderful film. This picture is made with respect and a true love of the sixties.,positive,169,The film is wonderful.
Wonderful movie. Adult content. Lots of erotic scenes plus excellent music and dance scenes. My wife and I absolutely loved this movie and wish they'd make more like it.,positive,169,Excellent movie with lots of erotic scenes and great music.
"Did Sandra (yes, she must have) know we would still be here for her some nine years later?<br /><br />See it if you haven't, again if you have; see her live while you can.",positive,171,Did she know that we would be here for her for nine years?
"This is a great film. Touching and strong. The direction is without question breathless. Good work to the team. I feel so sorry for Marlene, By the grace of God go you or I",positive,172,The direction is breathless and the film is touching and strong.
"And I really mean that. I caught it last night on Vh1, and I was not expecting it to be so good. This is now one of my favorites. I must add that it has a killer soundtrack.",positive,173,"I caught it last night on Vh1, and I was not expecting it to be so good."
This is a 'sleeper'. It defines Nicholas Cage. The plot is intricate and totally absorbing. The ending will blow you away.<br /><br />See it whenever you have the opportunity.,positive,175,The ending will blow you away and define Nicholas Cage.
"This is actually one of my favorite films, I would recommend that EVERYONE watches it. There is some great acting in it and it shows that not all ""good"" films are American....",positive,175,Everyone should watch this film because it shows that not all American films are good.
I don't care if some people voted this movie to be bad. If you want the Truth this is a Very Good Movie! It has every thing a movie should have. You really should Get this one.,positive,176,"If you want a good movie, this is it."
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",positive,176,"If you enjoy original gut wrenching laughter, you will like this movie."
"Love it, love it, love it! This is another absolutely superb performance from the Divine Miss M. From the beginning to the end, this is one big treat! Don't rent it- buy it now!",positive,177,"Don't rent it- buy it now, it's one big treat from the Divine Miss M."
I watched this film over a hundred times. It is really best Serbian movie made ever.I wood like to recommend this movie to everyone. It is very good comedy. I surely like it!!!!,positive,177,I like to recommend this film to everyone.
"Much underrated camp movie on the level of Cobra Woman, etc. Photographic stills resemble Rembrandt prints. Sometimes subtle dialog and hidden literate touches found throughout.",positive,177,It's a camp movie on the level of Cobra Woman.
I just saw the movie on tv. I really enjoyed it. I like a good mystery. and this one had me guessing up to the end. Sean Connery did a good job. I would recomend it to a friend.,positive,177,I liked the movie and I would recommend it to a friend.
"This is one of the best movies I've seen. The acting is good, the plot is solid, and the whole movie is very believable, which adds a lot to the movie. I rate this at least a 9.",positive,177,"The acting is good, the plot is solid, and the whole movie is very believable, which adds a lot to the movie."
"Love it, love it, love it! This is another absolutely superb performance from the Divine Miss M. From the beginning to the end, this is one big treat! Don't rent it- buy it now!",positive,177,"Don't rent it- buy it now, it's one big treat from the Divine Miss M."
This unpretentious Horror film is probably destined to become a cult classic. Much much better than 90% of the Scream rip-offs out there! I even hope they come up with a sequel!,positive,177,The film is likely to become a cult classic.
Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot,positive,178,"If you want to see the funniest film ever, you have to see it, it is cheap, but you have to see it."
Giorgino can to some people look a bit long but it's one of rare real romantique adventure film. It could be compare to Docter Jivago with a bit of Sleepy Holow. You must see it.,positive,178,It's one of the rare real romantique adventure films.
"Subject Matter: Cosmology, Quantum Physics and Stephen Hawking<br /><br />Soundtrack: Phillip Glass<br /><br />Have I died and gone to Heaven? <br /><br />You will be enraptured.",positive,178,Have I died and gone to Heaven?
Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot,positive,178,"If you want to see the funniest film ever, you have to see it, it is cheap, but you have to see it."
It is one of the best of Stephen Chow. I give it a nine out of ten.<br /><br />I was surprised to see that Shaolin Soccer was rated on top of all singsing's movies. Unbelievable.,positive,178,"I gave it a nine out of ten, and I was surprised to see that it was the top rated movie."
"But perhaps you have to have grown up in the 80's to truly appreciate this movie. If you love the early 80's this is definitely a must see. Also, one of the best soundtracks ever!",positive,179,This is a must see if you love the 80's.
If there is a movie to be called perfect then this is it. So bad it wasn't intended to be that way. But superb anyway... Go find it somewhere. Whatever you do... Do not miss it!!!,positive,179,"It wasn't intended to be that way, but it is superb."
"Its the best movie I have seen in 2000, it has the beautiful and talented Natalie Portman in it. It has a great storyline, cast and soundtrack. I enjoyed it very much. 10 out of 10",positive,180,It's the best movie I've seen in 2000 and it has Natalie Portman in it.
This Schiffer guy is a real genius! The movie is of excellent quality and both entertaining and educating.<br /><br />I didn't know what a weather girl was before I learned it here.,positive,181,I didn't know what a weather girl was before I watched this movie.
"The one of the most remarkable sci-fi movies of the millennium. Not only a movie but an incredible future vision, this movie establishes a new standard of s/f movies. hail and kill!",positive,181,The movie establishes a new standard of s/f movies.
"with very little screen time and money, Dan Katzir manages to do so much. This movie, in its heart-warming simplicity, touches the beauty of love from a fresh angle. rejuvinated lust",positive,182,Dan Katzir manages to do so much with very little screen time and money.
"To quote Flik, that was my reaction exactly: Wow...you're perfect! This is the best movie! I think I can even say it's become my favorite movie ever, even. Wow. I tell you what, wow.",positive,182,I think I can say that this is the best movie I've ever seen.
"Simply one of the best movies ever. If you won't get it - sorry for you. I believe that someday people will include this one in their all-time top 10's. Not now, but in the far future.",positive,184,I believe that someday people will include this one in their all-time top 10's.
Allison Dean's performance is what stands out in my mind watching this film. She balances out the melancholy tone of the film with an iridescent energy. I would like to see more of her.,positive,185,"The film has a melancholy tone, but Allison Dean balances it out with an iridescent energy."
1st watched 8/31/1996 - (Dir-Tim Robbins): Very thought provoking and very well done movie on the subject of the death penalty. Deserved more recognition and publicity than it received.,positive,185,The movie on the subject of the death penalty was thought provoking and well done.
"A really realistic, sensible movie by Ramgopal Verma . No stupidity like songs as in other Hindi movies. Class acting by Nana Patekar. <br /><br />Much similarities to real 'encounters'.",positive,186,The movie is very realistic and has a lot of similarities to real 'encounters'.
"I agree with the other comments. I saw this movie years ago. Christopher Plummer is hilarious as a dandy. The ribaldry is unsurpassed. If this comes out on video, I will definitely buy it.",positive,188,I saw this movie a long time ago and it was hilarious.
Goof: Factual error<br /><br />When Charlie walks out of the room to commit suicide he takes his gun with a silencer. After a few seconds we hear a loud bang from the same gun being fired.,positive,188,"After a few seconds, we hear a loud bang from the same gun being fired."
"I´m from Germany and I love the mvovies. I go 200 times a year. Tonight I saw ""Pecker"", it was a wonderful evening. Thank you, Mr. Waters. Everybody who has a chance to see the movie, go!!!",positive,189,"I love going to the mvovies and I saw ""Pecker"" tonight."
"A nicely done thriller with plenty of sex in it. I saw it on late night TV. There are two hardcore stars in it, Lauen Montgomery and Venus. Thankfully, Gabriella Hall has just a small part.",positive,189,"There are two hardcore stars in the film, Lauen Montgomery and Venus."
"The movie was a big Car Commercial. :-)<br /><br />But who cares? I went to the theater to view the Shelby Cobra, Angelina & Cage.<br /><br />So I guess it was a good movie. *bg*<br /><br />",positive,190,The movie was a commercial for cars.
In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence than anything else. Riviting stuff -- full of dread from the first moment to its dark ending.,positive,192,"This is the best Oliver Stone movie I have ever seen, probably because of Bogosian's influence."
Farley and Spade's best work ever. It's one of the all-around funniest movies I've ever seen. Watch it once and you'll be hooked and soon have all the lines memorized. No sleepy for Tommy Boy!,positive,192,It's one of the funniest movies I've ever seen.
"Brilliant kung-fu scenes, loads of melodrama, peculiar footwear symbolism and an unhappy (?) end makes Barefoot Kid an unforgettable film.<br /><br />One of the silliest subtitles I've seen...",positive,192,One of the funniest subtitles I've seen is for Barefoot Kid.
This movie was very good. I really enjoyed it. Tom McCamus' performance was excellent and very believable as the consumptive son Edmund. I also enjoyed the set design (house) and the costumes.,positive,192,Tom McCamus' performance as Edmund was believable and I really enjoyed it.
A very well directed version of Eric Bogosian's stage play. Well worth checking out for Bogosian's great characters and for anyone who wants to see how to bring a play to the movies correctly.,positive,192,"For anyone who wants to see how to bring a play to the movies correctly, this is a very well directed version of Eric Bogosian's stage play."
"The Claude Lelouch's movie is a pretty good moment of cinema. One of the most touching films about family and loneliness, and surely the best interpretation of French actor Jean-Paul Belmondo.",positive,192,"One of the most touching films about family and loneliness, and surely the best interpretation of French actor Jean-Paul Belmondo, is Claude Lelouch's movie."
wonderful movie with good story great humour (some great one-liners) and a soundtrack to die for.<br /><br />i've seen it 3 times so far.<br /><br />the american audiences are going to love it.,positive,193,I've seen it 3 times and the American audiences are going to love it.
"This film is one of Michael Keaton's best. Throughout the film he is 'on'. With co-stars like Ms. Henner, Joe Piscopo and Danny DeVito, you can't go wrong. Great laughs, great fun for everyone.",positive,193,The film has great laughs and great fun with co-stars like Ms. Henner.
"What about DJ Cash Money??? This film fails in part by not covering the mid to late 80s. There was only a small mention of DJ Cheese in 86.<br /><br />Also, it's Grandmixer ""DST"", not ""DXT""!!!!!",positive,194,The film fails because it doesn't cover DJ Cash Money in the 80s.
"A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them. Chrisopher Walken stars and is very good as the silent rogue with a scam bigger than he's letting on.",positive,194,Chrisopher Walken is very good as the silent rogue with a scam bigger than he's letting on in a tale of 2 thieves.
"I have seen ""Chasing the Dragon"" several times and have enjoyed it each time. The acting was superb. This movie really makes you realize how one bad choice at a weak moment can change your life.",positive,194,The acting was great and the movie made you realize how one bad choice can change your life.
"Before Dogma 95: when Lars used movies as art, not just a story. A beautiful painting about love and death. This is one of my favorite movies of all time. The color... The music... Just perfect.",positive,194,This is one of the best movies of all time.
"My favorite part of this film was the old man's attempt to cure his neighbor's ills by putting the strong medicine in his bath. There is more than a sense of family, there is a sense of community.",positive,196,The old man's attempt to cure his neighbor's ills by putting the strong medicine in his bath was my favorite part of the film.
"""Foxes"" is a great film. The four young actresses Jodie Foster, Cherie Currie, Marilyn Kagan and Kandice Stroh are wonderful. The song ""On the radio"" by Donna Summer is lovely. A great film. *****",positive,196,"""Foxes"" is a great film."
Wonderful film that mixes documentary and fiction in a way that makes the spectator question: what is the extent of truth in documentary films or is there such a thing as an objective documentary.,positive,196,A wonderful film that mixes documentary and fiction in a way that makes the spectator question what is the extent of truth in documentary films or is there such a thing as an objective documentary.
I absolutely loved this movie. It met all expectations and went beyond that. I loved the humor and the way the movie wasn't just randomly silly. It also had a message. Jim Carrey makes me happy. :),positive,197,The movie was beyond expectations and Jim Carrey made me happy.
"Agreeable ""Boy's Own Paper"" nonsense with a sprightly performance from Cushing, some amusing rubber monsters, colourful jungle sets, & the ever-welcome appearance of Caroline Munro in animal skins.",positive,197,"Agreeable ""Boy's Own Paper"" nonsense with a sprightly performance from Cushing, some amusing rubber monsters, colourful jungle sets, and the ever-welcome appearance ofCaroline Munro in animal skins."
"Funny, yes. A Freleng classic! To watch Sylvester turn green is always a treat, and it brings us back to the days when cartoon slapstick was brave and geared for the adult mind.<br /><br />Loved it!",positive,198,"It's funny, and it brings us back to the days when cartoon slapstick was brave and geared for the adult mind."
"The biggest heroes, is one of the greatest movies ever. A good story, great actors and a brilliant ending is what makes this film the jumping start of the director Thomas Vinterberg's great carrier.",positive,198,"A good story, great actors and a brilliant ending are what makes this film the jumping start of the director Thomas Vinterberg's great carrier."
"I saw this film on television years ago, but here several years after, I wake up in the morning, and still remember her face.<br /><br />This film is the most profoundly terrifying film I have seen.",positive,198,"I have seen this film many times, but I still remember her face when I wake up in the morning."
"Very smart, sometimes shocking, I just love it. It shoved one more side of David's brilliant talent. He impressed me greatly! David is the best. The movie captivates your attention for every second.",positive,198,"It was very smart and shocking, but I loved it. David is the best."
"I just watched this movie for the second time, and enjoyed it as much as the first time. It is a very emotional and beautiful movie, with good acting and great family values. Inspiring and touching!",positive,198,I enjoyed this movie as much as the first time I watched it.
"In my opinion, this film has wonderful lighting and even better photography. Too bad the story is not all that good and Mr. Cage sometimes loses his accent. But two thumbs up for lighting and the DP!",positive,199,"The lighting and photography of the film are excellent, but the story is not all that great."
"This is a strange, little, forgotten movie from the late eighties. It's one of those ""Large-cast kitchen sink"" movies that delivers some good gags. If you like the people in this one, give it a shot.",positive,199,There are some good gags in this movie from the 1980's.
"terribly underrated with matt dillon and tom skerritt, good backdrop for solid story and some memorable lines, well acted and well cast, tommy lee jones and bruce dern make you hate them with passion",positive,199,"A good backdrop for a solid story and some memorable lines, well acted and well cast, tommy lee jones and bruce dern make you hate them with passion."
Enjoyable and watchable. Tim Meadows at his best. A big boost from Billy Dee Williams. He and a very funny John Witherspoon provide a solid foundation for Mr. Meadows' riffing. Have fun with this one.,positive,200,"It's enjoyable and watchable, thanks to Billy Dee Williams."
"Hartley on low-key form: Martin Donovan, born to play Jesus, comes as Messiah to millenial Manhatten; P.J. Harvey is excellent as sidekick Magdelena. A slight film, but drily amusing, short and sweet.",positive,200,P.J. Harvey is excellent as sidekick Magdelena in a film that is short and sweet.
Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the villain the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness!,positive,200,The movie has good actors and a great story line.
"I was particularly moved by the understated courage and integrity of l'Anglaise, in this beautifully acted, intellectually and visually compelling film. Thank you so much, Monsieur le directeur Rohmer.",positive,201,I was moved by the integrity and courage of l'Anglaise in this film.
Complete entertainment! Although there are many strange things in the movie that the fairy tale itself doesn't have them including the autumn characters (mother and daughter) the general concept rocks.,positive,201,"There are many strange things in the movie that the fairy tale doesn't have, but the general concept is great."
I enjoyed this film which I thought was well written and acted.<br /><br />There was plenty of humour and a thought-provoking storyline. A warm and enjoyable experience with an emotional ending.Good fun.,positive,203,The film was well written and acted and I enjoyed it.
"When the Italians and Miles O'keeffe work together nothing can go wrong! As ever, Miles is great as the almost as great Ator; the most lovable barbarian of all times. Totally lives up to the first movie.",positive,203,The Italians and Miles O'keeffe are unstoppable.
"Beautiful coming of age romance about an English boy and French girl who run off, and grow up.<br /><br />I saw this movie as a teenager and loved it. I saw it again this year and loved again.<br /><br />",positive,204,I saw this movie when I was a teenager and loved it.
"Don't know how this missed award nominations. Great film. Certainly of the calibre of ""Beautiful Mind"" Great acting, photography, script and drama. I can't imagine anyone not being entranced by this film.",positive,204,I can't imagine anyone not liking this film.
Best club scenes that i have seen in a long time - atmosphere mesmerising - matthew Rhys's performance is impeccable and faultless. i would recommend this film to any age group. watch out for wonderwoman!,positive,204,"The best club scenes that I have seen in a long time, and that matthew Rhys's performance is flawless, I would recommend this film to any age group."
"Excellent documentary that still manages to shock and enlighten. Unfortunately, times haven't changed much since this was made and it is thus an important piece for all freedom-conscious Americans to see.",positive,204,This is an important piece for all freedom-conscious Americans to see because it still manages to shock and educate.
I saw this film by chance on the small box. It has a fantastic and chilling scene about poisonous gas. A lot about fanatical patriotism. A bit of eroticism. I can't believe it's still waiting for 5 votes!!,positive,205,The film has a great scene about poisonous gas and is waiting for 5 votes.
"This movie had it all,action,comedy,heroics,and best of all some of the finest actors.Gunga Din will remain a classic to be enjoyed by all who like good movies.Excellent picture,i have it in my collection.",positive,205,"This movie had it all,action,comedy,heroics, and best of all some of the finest actors, and will remain a classic to be enjoyed by all who like good movies."
"The way this story played out and the interaction between the 2 lead characters may lead me to believe that if the X-Files continues without Mulder and Scully, these would be a pretty good replacement duo.",positive,205,"The way this story played out and the interaction between the 2 lead characters may lead me to believe that if the X-Files continues without Mulder and Scully, these would be a pretty good replacement duo."
It's this sort of movie that you try and imitate. By attempting to realise something... then flying through the air almost immediately. I'd like to do that and I know you would too!<br /><br />Great stuff!,positive,205,I would like to do that and I know you would as well.
I really liked this movie despite one scene that was pretty bad (the one when Samantha and Nick are flirting in the hotel). The story is so cool and can't wait to read the book! Bravo for the super station!,positive,206,"One scene in the movie was bad, but the story is great and I can't wait to read the book."
"I'm warning you -- this movie is not scary. If you're a horror movie fan, especially a Child's Play fan, you'll think it's incredibly funny, but you won't be scared. It's not a bad movie, but it's not scary.",positive,207,"If you're a child's play fan, you'll think it's funny, but you won't be scared."
Simon's best comedy is superbly crafted by director Gene Saks and given life by the immense talents of Lemmon and Matthau. No one delivers these lines better. No one times them better. Nobody does it better.,positive,207,Lemmon and Matthau are amazing in Simon's best comedy.
"So many consider The Black Cat as the best Karloff/Lugosi collaboration. I disagree. The Invisible Ray is their best. A great storyline, fantastic special effects, and classic Karloff over-acting. I love it!!",positive,208,I don't think The Black Cat is the best Karloff/Lugosi film.
"Excellent film. I cried when she cried, I loved when they loved , I was frustrated when they were. This film touched my heart. It was a reality check for me since this is reality for me, a 19 year old soldier",positive,208,"I cried when she cried, I loved when they loved, and I was frustrated when they were."
"This is one fine movie, I can watch it any time. Rauol Julia gave an outstanding performance, we lost him too soon. Richard Dryfus is a great talent. Only thing it needed more of was Dana Delany, what a babe!",positive,208,"I can watch this movie any time I want, it's one of the best movies I've seen in a long time."
This is one of the best of the genre. I saw it twice about 25yrs ago and have not had another opportunity to see it again since then. It rivals the Zatoichi series (also starring Katsu) in exciting swordplay.,positive,208,"I haven't seen it in 25 years, but it is one of the best of the genre."
This movie is perfect for families to watch together. It is a great film and it deserves more credit. The special effects are stunning and spectacular. Everyone who has children should share this with theirs.,positive,208,The movie is great for families to watch together.
"Michael Is King. This film contains some of the best stuff Mike has ever done. Smooth Criminal is pure genius. The cameos are wonderful, but as always, the main event is MJ himself. He is the best, hands down.",positive,209,Smooth Criminal is one of the best things Mike has ever done.
This movie is specially for children and I think they will enjoy the movie. For older than 10 the movie is not great but Hilary Swank played very well and without her the movie is very bad but now it gets a 7.,positive,209,"The movie is good for children, but not great, but Hilary Swank played well and the movie got a 7."
"The DVD release of this superior made for TV BBC drama is a more than welcome addition to my collection. Great acting, gripping story, and wonderful direction all add up to one of the best BBC dramas in years.",positive,209,The DVD release of this superior made for TV drama is a more than welcome addition to my collection.
"Antonioni with Wim Wenders --some of the best of the best. story-character-visuals. Like most of their works, it is not really aimed at the children or the childish. Don't miss the genius contained in this one.",positive,210,This is one of the best works of Antonioni and Wenders.
"If you need cheering up on a cold weekday evening, this is the film for you! Excellent script and perfectly cast actors. I especially loved Ray psyching himself up in front of the mirror before gigs - inspired!",positive,210,The film is great if you need to cheer up on a cold day.
"The best movie about friendship! Especially between an AIDs infected person and a "" normal "" person. This is a great movie for everyone to see even though there is strong language used. I have seen it 25 times.",positive,210,The best movie about friendship is between an AIDs person and a normal person.
"I saw this again today for the first time in about 6 years. I had forgotten how well acted this movie is. Paul Newman gets the billing, but Dwight Schultz holds his own and shows how good an actor he really is.",positive,210,"I haven't seen this movie in about 6 years, but I saw it again today and it was great."
