review,sentiment,length,v_replacement,n_replacement,adj_replacement,v_entropy,n_entropy,adj_entropy
a mesmerizing film that certainly keeps your attention... Ben Daniels is fascinating (and courageous) to watch.,positive,111,"{'keeps': 'a mesmerizing film that certainly attracts your attention... ben daniels is fascinating ( and courageous ) to watch.', 'watch': 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to see.', 'fascinating': 'a mesmerizing film that certainly keeps your attention... ben daniels is beautiful ( and courageous ) to watch.', 'is': 'a mesmerizing film that certainly keeps your attention... ben daniels... fascinating ( and courageous ) to watch.'}","{'mesmerizing': 'a wonderful film that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.', 'Ben': 'a mesmerizing film that certainly keeps your attention... billy daniels is fascinating ( and courageous ) to watch.', 'and': 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( yet courageous ) to watch.', 'Daniels': 'a mesmerizing film that certainly keeps your attention... ben johnson is fascinating ( and courageous ) to watch.', 'courageous': 'a mesmerizing film that certainly keeps your attention... ben daniels is fascinating ( and entertaining ) to watch.', 'film': 'a mesmerizing presence that certainly keeps your attention... ben daniels is fascinating ( and courageous ) to watch.'}",{'attention': 'a mesmerizing film that certainly keeps your eye... ben daniels is fascinating ( and courageous ) to watch.'},"{'keeps': 4.7929272113833576e-05, 'watch': 4.7898938646540046e-05, 'fascinating': 4.802425974048674e-05, 'is': 4.838075619773008e-05}","{'mesmerizing': 4.804346463060938e-05, 'Ben': 4.7877572797005996e-05, 'and': 4.795506174559705e-05, 'Daniels': 4.783475014846772e-05, 'courageous': 4.792945765075274e-05, 'film': 4.790775346918963e-05}",{'attention': 4.789001104654744e-05}
This is the greatest movie ever. If you have written it off with out ever seeing it. You must give it a second try.,positive,115,"{'seeing': 'this is the greatest movie ever. if you have written it off with out ever see it. you must give it a second try.', 'give': 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must pass it a second try.', 'have': 'this is the greatest movie ever. if you ever written it off with out ever seeing it. you must give it a second try.', 'is': 'this : the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second try.', 'written': 'this is the greatest movie ever. if you have broken it off with out ever seeing it. you must give it a second try.'}","{'it': 'This is the greatest movie ever. If you have written this off with out ever seeing this. You must give this a second try.', 'movie': 'this is the greatest poem ever. if you have written it off with out ever seeing it. you must give it a second try.', 'ever': 'This is the greatest movie yet. If you have written it off with out yet seeing it. You must give it a second try.', 'try': 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a second shot.'}","{'second': 'this is the greatest movie ever. if you have written it off with out ever seeing it. you must give it a better try.', 'greatest': 'this is the longest movie ever. if you have written it off with out ever seeing it. you must give it a second try.'}","{'seeing': 5.676057480741292e-05, 'give': 5.6744986068224534e-05, 'have': 5.676622822647914e-05, 'is': 5.689436511602253e-05, 'written': 5.679320383933373e-05}","{'it': 5.6665103329578415e-05, 'movie': 5.673223131452687e-05, 'ever': 5.667625373462215e-05, 'try': 5.673139821738005e-05}","{'second': 5.684329880750738e-05, 'greatest': 5.673129635397345e-05}"
"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",positive,115,"{'are': 'this movie will always be a broadway and movie classic, as long as there remain still people who sing, dance, and act.', 'be': 'this movie will always prove a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'sing': 'this movie will always be a broadway and movie classic, as long as there are still people who talk, dance, and act.'}","{'movie': 'this play will always be a broadway and movie classic, as long as there are still people who sing, dance, and act.', 'classic': 'this movie will always be a broadway and movie hit, as long as there are still people who sing, dance, and act.', 'dance': 'this movie will always be a broadway and movie classic, as long as there are still people who sing, play, and act.', 'people': 'this movie will always be a broadway and movie classic, as long as there are still folks who sing, dance, and act.', 'act': 'this movie will always be a broadway and movie classic, as long as there are still people who sing, dance, and laugh.', 'Broadway': 'this movie will always be a theater and movie classic, as long as there are still people who sing, dance, and act.', 'Movie': 'this movie will always be a broadway and television classic, as long as there are still people who sing, dance, and act.'}",{},"{'are': 5.4761279898229986e-05, 'be': 5.4760381317464635e-05, 'sing': 5.478264210978523e-05}","{'movie': 5.475320358527824e-05, 'classic': 5.475134457810782e-05, 'dance': 5.4750737035647035e-05, 'people': 5.476520527736284e-05, 'act': 5.477307058754377e-05, 'Broadway': 5.476886872202158e-05, 'Movie': 5.475151556311175e-05}",{}
"Without a doubt, one of Tobe Hoppor's best! Epic storytellng, great special effects, and The Spacegirl (vamp me baby!).",positive,119,"{'storytellng': ""without a doubt, one of tobe hoppor's best! epic adventure, great special effects, and the spacegirl ( vamp me baby! )."", 'baby': ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me down! ).""}","{""Hoppor's"": 'without a doubt, one of tobe is best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! ).', 'vamp': ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( make me baby! )."", 'Epic': ""without a doubt, one of tobe hoppor's best! was storytellng, great special effects, and the spacegirl ( vamp me baby! )."", 'doubt': ""without a clue, one of tobe hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", 'Spacegirl': ""without a doubt, one of tobe hoppor's best! epic storytellng, great special effects, and the music ( vamp me baby! )."", 'best': ""without a doubt, one of tobe hoppor's e! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", 'Tobe': ""without a doubt, one of kim hoppor's best! epic storytellng, great special effects, and the spacegirl ( vamp me baby! )."", 'effects': ""without a doubt, one of tobe hoppor's best! epic storytellng, great specialties, and the spacegirl ( vamp me baby! ).""}","{'great': ""without a doubt, one of tobe hoppor's best! epic storytellng, special special effects, and the spacegirl ( vamp me baby! )."", 'special': ""without a doubt, one of tobe hoppor's best! epic storytellng, great lighting effects, and the spacegirl ( vamp me baby! ).""}","{'storytellng': 6.604787631658837e-05, 'baby': 6.608763942494988e-05}","{""Hoppor's"": 6.623086665058509e-05, 'vamp': 6.599341577384621e-05, 'Epic': 6.569534161826596e-05, 'doubt': 6.580095214303583e-05, 'Spacegirl': 6.585773371625692e-05, 'best': 6.55079202260822e-05, 'Tobe': 6.560864858329296e-05, 'effects': 6.59025099594146e-05}","{'great': 6.654651224380359e-05, 'special': 6.57709751976654e-05}"
Absolutely fantastic! Whatever I say wouldn't do this underrated movie the justice it deserves. Watch it now! FANTASTIC!,positive,120,"{'do': ""absolutely fantastic! whatever i say wouldn't earn this underrated movie the justice it deserves. watch it now! fantastic!"", 'deserves': ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it is. watch it now! fantastic!"", 'say': ""absolutely fantastic! whatever i wanted wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", 'now': ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it out! fantastic!""}","{'movie': ""absolutely fantastic! whatever i say wouldn't do this underrated world the justice it deserves. watch it now! fantastic!"", 'FANTASTIC': ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! okay!"", 'Whatever': ""absolutely fantastic! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", 'justice': ""absolutely fantastic! whatever i say wouldn't do this underrated movie the damage it deserves. watch it now! fantastic!""}","{'fantastic': ""absolutely right! whatever i say wouldn't do this underrated movie the justice it deserves. watch it now! fantastic!"", 'underrated': ""absolutely fantastic! whatever i say wouldn't do this entire movie the justice it deserves. watch it now! fantastic!""}","{'do': 7.750509394099936e-05, 'deserves': 7.713515515206382e-05, 'say': 7.732969243079424e-05, 'now': 7.709566853009164e-05}","{'movie': 7.703327719355002e-05, 'FANTASTIC': 7.719994755461812e-05, 'Whatever': 7.727281627012417e-05, 'justice': 7.71552076912485e-05}","{'fantastic': 7.773731340421364e-05, 'underrated': 7.692553481319919e-05}"
"As usual, Sean Connery does a great job. Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",positive,120,"{'have': 'as usual, sean connery does a great job. lawrence fishburn is good, but i take a hard time not seeing him as ike turner.', 'seeing': 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not identifying him as ike turner.', 'does': 'as usual, sean connery do a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'is': 'as usual, sean connery does a great job. lawrence fishburn feels good, but i have a hard time not seeing him as ike turner.'}","{'Connery': 'as usual, sean howard does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'Ike': 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as joe turner.', 'Turner': 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike barker.', 'job': 'as usual, sean connery does a great show. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'Fishburn': 'as usual, sean connery does a great job. lawrence himself is good, but i have a hard time not seeing him as ike turner.', 'Lawrence': 'as usual, sean connery does a great job. jason fishburn is good, but i have a hard time not seeing him as ike turner.', 'time': 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a hard day not seeing him as ike turner.'}","{'great': 'as usual, sean connery does a wonderful job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'Sean': 'as usual, dennis connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.', 'good': 'as usual, sean connery does a great job. lawrence fishburn is gorgeous, but i have a hard time not seeing him as ike turner.', 'hard': 'as usual, sean connery does a great job. lawrence fishburn is good, but i have a bad time not seeing him as ike turner.', 'usual': 'as well, sean connery does a great job. lawrence fishburn is good, but i have a hard time not seeing him as ike turner.'}","{'have': 4.7812103730393574e-05, 'seeing': 4.7699719289084896e-05, 'does': 4.770847954205237e-05, 'is': 4.766016354551539e-05}","{'Connery': 4.777633148478344e-05, 'Ike': 4.752042514155619e-05, 'Turner': 4.7681609430583194e-05, 'job': 4.785554119735025e-05, 'Fishburn': 4.775649722432718e-05, 'Lawrence': 4.7724937758175656e-05, 'time': 4.762238313560374e-05}","{'great': 4.7803168854443356e-05, 'Sean': 4.7431440179934725e-05, 'good': 4.778193761012517e-05, 'hard': 4.773914406541735e-05, 'usual': 4.757866190630011e-05}"
For pure gothic vampire cheese nothing can compare to the Subspecies films. I highly recommend each and every one of them.,positive,122,"{'recommend': 'for pure gothic vampire cheese nothing can compare to the subspecies films. i highly admired each and every one of them.', 'films': 'for pure gothic vampire cheese nothing can compare to the subspecies itself. i highly recommend each and every one of them.', 'compare': 'for pure gothic vampire cheese nothing can add to the subspecies films. i highly recommend each and every one of them.'}","{'cheese': 'for pure gothic vampire. nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'vampire': 'for pure gothic black cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'Subspecies': 'for pure gothic vampire cheese nothing can compare to the werewolf films. i highly recommend each and every one of them.', 'them': 'for pure gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of us.', 'nothing': 'for pure gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.'}","{'pure': 'for that gothic vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.', 'gothic': 'for pure black vampire cheese nothing can compare to the subspecies films. i highly recommend each and every one of them.'}","{'recommend': 6.582052446901798e-05, 'films': 6.590065459022298e-05, 'compare': 6.59221041132696e-05}","{'cheese': 6.605960516026244e-05, 'vampire': 6.585029041161761e-05, 'Subspecies': 6.589514669030905e-05, 'them': 6.594909791601822e-05, 'nothing': 6.588785618077964e-05}","{'pure': 6.586510426132008e-05, 'gothic': 6.588760879822075e-05}"
If you've ever had a mad week-end out with your mates then you'll appreciate this film. Excellent fun and a laugh a minute.,positive,123,"{""you've"": ""if ye ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", 'had': ""if you've ever seen a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", 'appreciate': ""if you've ever had a mad week - end out with your mates then you'll miss this film. excellent fun and a laugh a minute.""}","{'fun': ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent performance and a laugh a minute."", 'mates': ""if you've ever had a mad week - end out with your friends then you'll appreciate this film. excellent fun and a laugh a minute."", 'Excellent': ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. make fun and a laugh a minute."", 'week': ""if you've ever had a mad year - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", 'laugh': ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a million a minute."", 'minute': ""if you've ever had a mad week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a day.""}","{'mad': ""if you've ever had a fun week - end out with your mates then you'll appreciate this film. excellent fun and a laugh a minute."", 'film': ""if you've ever had a mad week - end out with your mates then you'll appreciate this adventure. excellent fun and a laugh a minute.""}","{""you've"": 5.343342854757793e-05, 'had': 5.3389368986245245e-05, 'appreciate': 5.336564936442301e-05}","{'fun': 5.334313027560711e-05, 'mates': 5.33889360667672e-05, 'Excellent': 5.338105256669223e-05, 'week': 5.336085814633407e-05, 'laugh': 5.3387178923003376e-05, 'minute': 5.336957110557705e-05}","{'mad': 5.3528554417425767e-05, 'film': 5.349313505575992e-05}"
"One of the funniest movies made in recent years. Good characterization, plot and exceptional chemistry make this one a classic",positive,126,"{'made': 'one of the funniest movies seen in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'make': 'one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry making this one a classic'}","{'years': 'one of the funniest movies made in recent time. good characterization, plot and exceptional chemistry make this one a classic', 'movies': 'one of the funniest comedies made in recent years. good characterization, plot and exceptional chemistry make this one a classic', 'Good': 'one of the funniest movies made in recent years. the characterization, plot and exceptional chemistry make this one a classic', 'chemistry': 'one of the funniest movies made in recent years. good characterization, plot and exceptional dialogue make this one a classic', 'plot': 'one of the funniest movies made in recent years. good characterization, acting and exceptional chemistry make this one a classic', 'characterization': 'one of the funniest movies made in recent years. good script, plot and exceptional chemistry make this one a classic'}","{'exceptional': 'one of the funniest movies made in recent years. good characterization, plot and bad chemistry make this one a classic', 'recent': 'one of the funniest movies made in 30 years. good characterization, plot and exceptional chemistry make this one a classic', 'classic': 'one of the funniest movies made in recent years. good characterization, plot and exceptional chemistry make this one a |', 'funniest': 'one of the finest movies made in recent years. good characterization, plot and exceptional chemistry make this one a classic'}","{'made': 5.012903056922369e-05, 'make': 5.023034827900119e-05}","{'years': 5.017841249355115e-05, 'movies': 5.015738497604616e-05, 'Good': 5.009655433241278e-05, 'chemistry': 5.027441511629149e-05, 'plot': 5.026280996389687e-05, 'characterization': 5.038492236053571e-05}","{'exceptional': 5.0207050662720576e-05, 'recent': 5.018237789045088e-05, 'classic': 5.142663576407358e-05, 'funniest': 5.028196392231621e-05}"
"Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.",positive,127,{},"{'see': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must pass, at least for basset in her early days. watch it.', 'it': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch tv.', 'Brilliant': 'no. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'Watch': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. love it.', 'Ranks': 'brilliant. working along with citizen kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'Matrix': 'brilliant. ranks along with citizen kane, the kings and godfathers. must see, at least for basset in her early days. watch it.', 'basset': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for me in her early days. watch it.', 'Kane': 'brilliant. ranks along with citizen force, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'Citizen': 'brilliant. ranks along with adam kane, the matrix and godfathers. must see, at least for basset in her early days. watch it.', 'Must': 'brilliant. ranks along with citizen kane, the matrix and godfathers. ya see, at least for basset in her early days. watch it.', 'days': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her early fifties. watch it.', 'Godfathers': 'brilliant. ranks along with citizen kane, the matrix and pandora. must see, at least for basset in her early days. watch it.'}","{'early': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at least for basset in her later days. watch it.', 'least': 'brilliant. ranks along with citizen kane, the matrix and godfathers. must see, at best for basset in her early days. watch it.'}",{},"{'see': 5.683831841452047e-05, 'it': 5.6952409067889675e-05, 'Brilliant': 5.755100937676616e-05, 'Watch': 5.720421904698014e-05, 'Ranks': 5.6896082242019475e-05, 'Matrix': 5.6805503845680505e-05, 'basset': 5.6998404033947736e-05, 'Kane': 5.69470357731916e-05, 'Citizen': 5.698657696484588e-05, 'Must': 5.6950746511574835e-05, 'days': 5.68854266020935e-05, 'Godfathers': 5.684660209226422e-05}","{'early': 5.6892840802902356e-05, 'least': 5.697028245776892e-05}"
